,features,loop_1,loop_2,loop_3,loop_4,loop_5,loop_6,loop_7,loop_8,loop_9,loop_10,loop_11,loop_12,loop_13,loop_14,loop_15,loop_16,loop_17,loop_18,loop_19,loop_20,sum
258,a258,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
260,a260,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
261,a261,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
116,a116,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
259,a259,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
112,a112,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,19
257,a257,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,19
302,b27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,19
296,b21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,19
115,a115,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,18
122,a122,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,18
266,a266,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,18
120,a120,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,18
230,a230,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,17
256,a256,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,17
432,b157,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,17
167,a167,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,16
262,a262,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,16
265,a265,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,16
113,a113,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,15
114,a114,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,15
170,a170,1,1,0,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,0,1,14
429,b154,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,14
27,a27,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,13
117,a117,1,0,0,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,13
444,b169,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,1,1,0,0,13
263,a263,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,13
251,a251,1,0,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,1,12
379,b104,0,0,1,1,0,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,12
448,b173,1,1,0,0,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,11
264,a264,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,1,11
437,b162,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,1,0,0,11
121,a121,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,10
268,a268,1,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,10
108,a108,1,0,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0,1,1,0,10
255,a255,0,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1,0,1,0,10
435,b160,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,0,1,1,0,0,10
449,b174,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,10
290,b15,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,1,1,1,10
297,b22,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,9
253,a253,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,9
119,a119,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,0,9
35,a35,1,0,0,1,1,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,9
305,b30,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,8
31,a31,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,8
295,b20,0,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,8
487,b212,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,8
357,b82,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,8
231,a231,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,8
501,b226,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,8
368,b93,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,7
127,a127,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,7
311,b36,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,7
499,b224,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,7
254,a254,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,6
440,b165,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,6
131,a131,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,6
124,a124,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,6
489,b214,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,6
168,a168,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,6
431,b156,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,6
316,b41,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,6
50,a50,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,6
299,b24,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,6
315,b40,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,5
533,b258,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,5
161,a161,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,5
483,b208,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,5
433,b158,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,5
49,a49,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,5
513,b238,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,5
245,a245,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,5
443,b168,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,5
500,b225,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,5
227,a227,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4
428,b153,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,4
